"Story","Title","Result","Date","Stability","Duration (s)"
"Auth","Login - Login success with data valid","SUCCESS","2023-05-09T22:56:08.319092+07:00[Asia/Jakarta]","0.0","3.86"
"Auth","Login - Login failed username valid but password invalid","SUCCESS","2023-05-09T22:56:12.197394+07:00[Asia/Jakarta]","0.0","0.21"
"Auth","Login - Login failed not registered","SUCCESS","2023-05-09T22:56:12.431541+07:00[Asia/Jakarta]","0.0","0.2"
"Auth","Login - Login failed all empty","SUCCESS","2023-05-09T22:56:12.644852+07:00[Asia/Jakarta]","0.0","0.19"
"Auth","Login - Login failed email empty","SUCCESS","2023-05-09T22:56:12.843644+07:00[Asia/Jakarta]","0.0","0.18"
"Auth","Login - Login failed password empty","SUCCESS","2023-05-09T22:56:13.03805+07:00[Asia/Jakarta]","0.0","0.19"
"Auth","Register - Register Success with data valid","SUCCESS","2023-05-09T22:56:13.239862+07:00[Asia/Jakarta]","0.0","0.22"
"Auth","Register - Register failed with all data empty","SUCCESS","2023-05-09T22:56:13.470171+07:00[Asia/Jakarta]","0.0","0.19"
"Auth","Register - Register failed with email empty","SUCCESS","2023-05-09T22:56:13.674165+07:00[Asia/Jakarta]","0.0","0.19"
"Auth","Register - Register failed with fullname empty","SUCCESS","2023-05-09T22:56:13.86955+07:00[Asia/Jakarta]","0.0","0.18"
"Auth","Register - Register failed with password empty","SUCCESS","2023-05-09T22:56:14.056343+07:00[Asia/Jakarta]","0.0","0.17"
"Auth","Register - Register already exist","SUCCESS","2023-05-09T22:56:14.237733+07:00[Asia/Jakarta]","0.0","0.2"
"Auth","Get Information - Get Information with token valid","SUCCESS","2023-05-09T22:56:14.445077+07:00[Asia/Jakarta]","0.0","0.43"
"Auth","Get Information - Get Information with token empty","SUCCESS","2023-05-09T22:56:14.884067+07:00[Asia/Jakarta]","0.0","0.34"
"Auth","Get Information - Get Information with token invalid","SUCCESS","2023-05-09T22:56:15.227536+07:00[Asia/Jakarta]","0.0","0.34"
"Categories","Add Categories - Add Categories with data valid","SUCCESS","2023-05-09T22:56:15.60748+07:00[Asia/Jakarta]","0.0","0.26"
"Categories","Add Categories - Add Categories with name empty","SUCCESS","2023-05-09T22:56:15.874401+07:00[Asia/Jakarta]","0.0","0.18"
"Categories","Add Categories - Add Categories with name input integer","SUCCESS","2023-05-09T22:56:16.06654+07:00[Asia/Jakarta]","0.0","0.18"
"Categories","Get Categories - Get Categories with url valid","SUCCESS","2023-05-09T22:56:16.255186+07:00[Asia/Jakarta]","0.0","0.4"
"Categories","Get Categories - Get Categories with url invalid","SUCCESS","2023-05-09T22:56:16.660606+07:00[Asia/Jakarta]","0.0","0.18"
"Categories","Get Categories By id - Get Categories with id found","SUCCESS","2023-05-09T22:56:16.846041+07:00[Asia/Jakarta]","0.0","0.49"
"Categories","Get Categories By id - Get Categories with id not found","SUCCESS","2023-05-09T22:56:17.3441+07:00[Asia/Jakarta]","0.0","0.17"
"Categories","Get Categories By id - Get Categories with id input string","SUCCESS","2023-05-09T22:56:17.525146+07:00[Asia/Jakarta]","0.0","0.17"
"End To End","End to end","SUCCESS","2023-05-09T22:56:17.722762+07:00[Asia/Jakarta]","0.0","4.02"
"Order","Add Order - Add Orders with data valid and token valid","SUCCESS","2023-05-09T22:56:21.754094+07:00[Asia/Jakarta]","0.0","0.9"
"Order","Add Order - Add Orders with data valid and token empty","SUCCESS","2023-05-09T22:56:22.659941+07:00[Asia/Jakarta]","0.0","0.38"
"Order","Add Order - Add Orders with product id input string","SUCCESS","2023-05-09T22:56:23.049694+07:00[Asia/Jakarta]","0.0","0.49"
"Order","Add Order - Add Orders with product id input empty","SUCCESS","2023-05-09T22:56:23.550687+07:00[Asia/Jakarta]","0.0","0.49"
"Order","Add Order - Add Orders with quantity input minus","SUCCESS","2023-05-09T22:56:24.048924+07:00[Asia/Jakarta]","0.0","0.54"
"Order","Add Order - Add Orders with quantity input empty","SUCCESS","2023-05-09T22:56:24.600323+07:00[Asia/Jakarta]","0.0","0.55"
"Order","Get Order - Get Orders with token valid","SUCCESS","2023-05-09T22:56:25.154142+07:00[Asia/Jakarta]","0.0","0.55"
"Order","Get Orders - Get Orders with token invalid","SUCCESS","2023-05-09T22:56:25.712516+07:00[Asia/Jakarta]","0.0","0.32"
"Order","Get Orders By Id - Get Orders By Id with id found","SUCCESS","2023-05-09T22:56:26.044505+07:00[Asia/Jakarta]","0.0","0.84"
"Order","Get Orders by Id - Get Orders by Id with token empty","SUCCESS","2023-05-09T22:56:26.888855+07:00[Asia/Jakarta]","0.0","0.79"
"Order","Get Orders by Id - Get Orders by Id with id not found","SUCCESS","2023-05-09T22:56:27.690248+07:00[Asia/Jakarta]","0.0","0.39"
"Product","Get Products - Get Products with url valid","SUCCESS","2023-05-09T22:56:28.097748+07:00[Asia/Jakarta]","0.0","0.85"
"Product","Get Products - Get Products with url invalid","SUCCESS","2023-05-09T22:56:28.956317+07:00[Asia/Jakarta]","0.0","0.22"
"Product","Add Products - Add Products with data valid","SUCCESS","2023-05-09T22:56:29.179574+07:00[Asia/Jakarta]","0.0","0.27"
"Product","Add Products - Add Products name empty","SUCCESS","2023-05-09T22:56:29.455396+07:00[Asia/Jakarta]","0.0","0.18"
"Product","Add Products - Add Products format name integer","SUCCESS","2023-05-09T22:56:29.643715+07:00[Asia/Jakarta]","0.0","0.2"
"Product","Add Products - Add Products price empty","SUCCESS","2023-05-09T22:56:29.848008+07:00[Asia/Jakarta]","0.0","0.18"
"Product","Add Products - Add Products price input negative","SUCCESS","2023-05-09T22:56:30.032353+07:00[Asia/Jakarta]","0.0","0.18"
"Product","Add Products - Add Products price categories empty","SUCCESS","2023-05-09T22:56:30.222153+07:00[Asia/Jakarta]","0.0","0.16"
"Product","Add Products - Add Products price categories input string","SUCCESS","2023-05-09T22:56:30.390177+07:00[Asia/Jakarta]","0.0","0.18"
"Product","Get Products By Id - Get Products By Id with id found","SUCCESS","2023-05-09T22:56:30.576307+07:00[Asia/Jakarta]","0.0","1.28"
"Product","Get Products By Id - Get Products By Id with id not found","SUCCESS","2023-05-09T22:56:31.866404+07:00[Asia/Jakarta]","0.0","0.19"
"Product","Delete Products By Id - Delete Products By Id with id found","SUCCESS","2023-05-09T22:56:32.068298+07:00[Asia/Jakarta]","0.0","0.4"
"Product","Delete Products By Id - Delete Products By Id with id limit maximum","SUCCESS","2023-05-09T22:56:32.472766+07:00[Asia/Jakarta]","0.0","0.19"
"Product","Add Ratings - Add Ratings with data valid","SUCCESS","2023-05-09T22:56:32.673438+07:00[Asia/Jakarta]","0.0","0.41"
