"Story","Title","Result","Date","Stability","Duration (s)"
"Order","Add Order - Add Orders with data valid and token valid","SUCCESS","2023-05-10T20:32:26.858836+07:00[Asia/Jakarta]","0.0","0.44"
"Order","Add Order - Add Orders with data valid and token empty","SUCCESS","2023-05-10T20:32:27.310158+07:00[Asia/Jakarta]","0.0","0.3"
"Order","Add Order - Add Orders with product id input string","SUCCESS","2023-05-10T20:32:27.614936+07:00[Asia/Jakarta]","0.0","0.33"
"Order","Add Order - Add Orders with product id input empty","SUCCESS","2023-05-10T20:32:27.948463+07:00[Asia/Jakarta]","0.0","0.32"
"Order","Add Order - Add Orders with quantity input minus","SUCCESS","2023-05-10T20:32:28.275539+07:00[Asia/Jakarta]","0.0","0.41"
"Order","Add Order - Add Orders with quantity input empty","SUCCESS","2023-05-10T20:32:28.690408+07:00[Asia/Jakarta]","0.0","0.37"
"Order","Get Order - Get Orders with token valid","SUCCESS","2023-05-10T20:32:29.07162+07:00[Asia/Jakarta]","0.0","0.45"
"Order","Get Orders - Get Orders with token invalid","SUCCESS","2023-05-10T20:32:29.534426+07:00[Asia/Jakarta]","0.0","0.23"
"Order","Get Orders By Id - Get Orders By Id with id found","SUCCESS","2023-05-10T20:32:29.770322+07:00[Asia/Jakarta]","0.0","0.63"
"Order","Get Orders by Id - Get Orders by Id with token empty","SUCCESS","2023-05-10T20:32:30.410723+07:00[Asia/Jakarta]","0.0","0.49"
"Order","Get Orders by Id - Get Orders by Id with id not found","SUCCESS","2023-05-10T20:32:30.909885+07:00[Asia/Jakarta]","0.0","0.22"
