"Story","Title","Result","Date","Stability","Duration (s)"
"Product","Get Products - Get Products with url valid","SUCCESS","2023-05-10T20:32:31.14682+07:00[Asia/Jakarta]","0.0","0.87"
"Product","Get Products - Get Products with url invalid","SUCCESS","2023-05-10T20:32:32.024577+07:00[Asia/Jakarta]","0.0","0.12"
"Product","Add Products - Add Products with data valid","SUCCESS","2023-05-10T20:32:32.153179+07:00[Asia/Jakarta]","0.0","0.19"
"Product","Add Products - Add Products name empty","SUCCESS","2023-05-10T20:32:32.349315+07:00[Asia/Jakarta]","0.0","0.12"
"Product","Add Products - Add Products format name integer","SUCCESS","2023-05-10T20:32:32.478463+07:00[Asia/Jakarta]","0.0","0.15"
"Product","Add Products - Add Products price empty","SUCCESS","2023-05-10T20:32:32.6316+07:00[Asia/Jakarta]","0.0","0.13"
"Product","Add Products - Add Products price input negative","SUCCESS","2023-05-10T20:32:32.768166+07:00[Asia/Jakarta]","0.0","0.13"
"Product","Add Products - Add Products price categories empty","SUCCESS","2023-05-10T20:32:32.907651+07:00[Asia/Jakarta]","0.0","0.13"
"Product","Add Products - Add Products price categories input string","SUCCESS","2023-05-10T20:32:33.051867+07:00[Asia/Jakarta]","0.0","0.13"
"Product","Get Products By Id - Get Products By Id with id found","SUCCESS","2023-05-10T20:32:33.188917+07:00[Asia/Jakarta]","0.0","1.15"
"Product","Get Products By Id - Get Products By Id with id not found","SUCCESS","2023-05-10T20:32:34.344813+07:00[Asia/Jakarta]","0.0","0.13"
"Product","Delete Products By Id - Delete Products By Id with id found","SUCCESS","2023-05-10T20:32:34.477906+07:00[Asia/Jakarta]","0.0","0.28"
"Product","Delete Products By Id - Delete Products By Id with id limit maximum","SUCCESS","2023-05-10T20:32:34.768529+07:00[Asia/Jakarta]","0.0","0.13"
"Product","Add Ratings - Add Ratings with data valid","SUCCESS","2023-05-10T20:32:34.911451+07:00[Asia/Jakarta]","0.0","0.41"
"Product","Add Ratings - Add Ratings with data id not found","SUCCESS","2023-05-10T20:32:35.325524+07:00[Asia/Jakarta]","0.0","0.55"
"Product","Add Ratings - Add Ratings with token empty","SUCCESS","2023-05-10T20:32:35.879176+07:00[Asia/Jakarta]","0.0","0.23"
"Product","Get Ratings By Id - Get Ratings By Id with id found","SUCCESS","2023-05-10T20:32:36.121059+07:00[Asia/Jakarta]","0.0","0.14"
"Product","Get Ratings By Id - Get Ratings By Id with id not found","SUCCESS","2023-05-10T20:32:36.264886+07:00[Asia/Jakarta]","0.0","0.14"
"Product","Get Ratings By Id - Get Ratings By Id with id input string","SUCCESS","2023-05-10T20:32:36.413958+07:00[Asia/Jakarta]","0.0","0.12"
"Product","Add Comments - Add Comments with data and token valid","SUCCESS","2023-05-10T20:32:36.539422+07:00[Asia/Jakarta]","0.0","0.24"
"Product","Add Comments - Add Comments with token empty","SUCCESS","2023-05-10T20:32:36.786591+07:00[Asia/Jakarta]","0.0","0.13"
"Product","Add Comments - Add Comments with content empty","SUCCESS","2023-05-10T20:32:36.92668+07:00[Asia/Jakarta]","0.0","0.23"
"Product","Add Comments - Add Comments with input string url","SUCCESS","2023-05-10T20:32:37.16818+07:00[Asia/Jakarta]","0.0","0.23"
"Product","Get Comments - Get Comments with url valid","SUCCESS","2023-05-10T20:32:37.408189+07:00[Asia/Jakarta]","0.0","0.14"
"Product","Get Comments - Get Comments with url invalid","SUCCESS","2023-05-10T20:32:37.557012+07:00[Asia/Jakarta]","0.0","0.14"
