"Story","Title","Result","Date","Stability","Duration (s)"
"Product","Get Products - Get Products with url valid","SUCCESS","2023-05-09T22:56:28.097748+07:00[Asia/Jakarta]","0.0","0.85"
"Product","Get Products - Get Products with url invalid","SUCCESS","2023-05-09T22:56:28.956317+07:00[Asia/Jakarta]","0.0","0.22"
"Product","Add Products - Add Products with data valid","SUCCESS","2023-05-09T22:56:29.179574+07:00[Asia/Jakarta]","0.0","0.27"
"Product","Add Products - Add Products name empty","SUCCESS","2023-05-09T22:56:29.455396+07:00[Asia/Jakarta]","0.0","0.18"
"Product","Add Products - Add Products format name integer","SUCCESS","2023-05-09T22:56:29.643715+07:00[Asia/Jakarta]","0.0","0.2"
"Product","Add Products - Add Products price empty","SUCCESS","2023-05-09T22:56:29.848008+07:00[Asia/Jakarta]","0.0","0.18"
"Product","Add Products - Add Products price input negative","SUCCESS","2023-05-09T22:56:30.032353+07:00[Asia/Jakarta]","0.0","0.18"
"Product","Add Products - Add Products price categories empty","SUCCESS","2023-05-09T22:56:30.222153+07:00[Asia/Jakarta]","0.0","0.16"
"Product","Add Products - Add Products price categories input string","SUCCESS","2023-05-09T22:56:30.390177+07:00[Asia/Jakarta]","0.0","0.18"
"Product","Get Products By Id - Get Products By Id with id found","SUCCESS","2023-05-09T22:56:30.576307+07:00[Asia/Jakarta]","0.0","1.28"
"Product","Get Products By Id - Get Products By Id with id not found","SUCCESS","2023-05-09T22:56:31.866404+07:00[Asia/Jakarta]","0.0","0.19"
"Product","Delete Products By Id - Delete Products By Id with id found","SUCCESS","2023-05-09T22:56:32.068298+07:00[Asia/Jakarta]","0.0","0.4"
"Product","Delete Products By Id - Delete Products By Id with id limit maximum","SUCCESS","2023-05-09T22:56:32.472766+07:00[Asia/Jakarta]","0.0","0.19"
"Product","Add Ratings - Add Ratings with data valid","SUCCESS","2023-05-09T22:56:32.673438+07:00[Asia/Jakarta]","0.0","0.41"
"Product","Add Ratings - Add Ratings with data id not found","SUCCESS","2023-05-09T22:56:33.092088+07:00[Asia/Jakarta]","0.0","0.36"
"Product","Add Ratings - Add Ratings with token empty","SUCCESS","2023-05-09T22:56:33.461206+07:00[Asia/Jakarta]","0.0","0.36"
"Product","Get Ratings By Id - Get Ratings By Id with id found","SUCCESS","2023-05-09T22:56:33.835859+07:00[Asia/Jakarta]","0.0","0.18"
"Product","Get Ratings By Id - Get Ratings By Id with id not found","SUCCESS","2023-05-09T22:56:34.025324+07:00[Asia/Jakarta]","0.0","0.19"
"Product","Get Ratings By Id - Get Ratings By Id with id input string","SUCCESS","2023-05-09T22:56:34.228234+07:00[Asia/Jakarta]","0.0","0.18"
"Product","Add Comments - Add Comments with data and token valid","SUCCESS","2023-05-09T22:56:34.414+07:00[Asia/Jakarta]","0.0","0.33"
"Product","Add Comments - Add Comments with token empty","SUCCESS","2023-05-09T22:56:34.755072+07:00[Asia/Jakarta]","0.0","0.18"
"Product","Add Comments - Add Comments with content empty","SUCCESS","2023-05-09T22:56:34.947723+07:00[Asia/Jakarta]","0.0","0.34"
"Product","Add Comments - Add Comments with input string url","SUCCESS","2023-05-09T22:56:35.29787+07:00[Asia/Jakarta]","0.0","0.36"
"Product","Get Comments - Get Comments with url valid","SUCCESS","2023-05-09T22:56:35.668726+07:00[Asia/Jakarta]","0.0","0.2"
"Product","Get Comments - Get Comments with url invalid","SUCCESS","2023-05-09T22:56:35.875485+07:00[Asia/Jakarta]","0.0","0.18"
