"Story","Title","Result","Date","Stability","Duration (s)"
"Auth","Login - Login success with data valid","SUCCESS","2023-05-09T22:56:08.319092+07:00[Asia/Jakarta]","0.0","3.86"
"Auth","Login - Login failed username valid but password invalid","SUCCESS","2023-05-09T22:56:12.197394+07:00[Asia/Jakarta]","0.0","0.21"
"Auth","Login - Login failed not registered","SUCCESS","2023-05-09T22:56:12.431541+07:00[Asia/Jakarta]","0.0","0.2"
"Auth","Login - Login failed all empty","SUCCESS","2023-05-09T22:56:12.644852+07:00[Asia/Jakarta]","0.0","0.19"
"Auth","Login - Login failed email empty","SUCCESS","2023-05-09T22:56:12.843644+07:00[Asia/Jakarta]","0.0","0.18"
"Auth","Login - Login failed password empty","SUCCESS","2023-05-09T22:56:13.03805+07:00[Asia/Jakarta]","0.0","0.19"
"Auth","Register - Register Success with data valid","SUCCESS","2023-05-09T22:56:13.239862+07:00[Asia/Jakarta]","0.0","0.22"
"Auth","Register - Register failed with all data empty","SUCCESS","2023-05-09T22:56:13.470171+07:00[Asia/Jakarta]","0.0","0.19"
"Auth","Register - Register failed with email empty","SUCCESS","2023-05-09T22:56:13.674165+07:00[Asia/Jakarta]","0.0","0.19"
"Auth","Register - Register failed with fullname empty","SUCCESS","2023-05-09T22:56:13.86955+07:00[Asia/Jakarta]","0.0","0.18"
"Auth","Register - Register failed with password empty","SUCCESS","2023-05-09T22:56:14.056343+07:00[Asia/Jakarta]","0.0","0.17"
"Auth","Register - Register already exist","SUCCESS","2023-05-09T22:56:14.237733+07:00[Asia/Jakarta]","0.0","0.2"
"Auth","Get Information - Get Information with token valid","SUCCESS","2023-05-09T22:56:14.445077+07:00[Asia/Jakarta]","0.0","0.43"
"Auth","Get Information - Get Information with token empty","SUCCESS","2023-05-09T22:56:14.884067+07:00[Asia/Jakarta]","0.0","0.34"
"Auth","Get Information - Get Information with token invalid","SUCCESS","2023-05-09T22:56:15.227536+07:00[Asia/Jakarta]","0.0","0.34"
